Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,target,cluster
1,female,8.0,0,0,177.2499,Q,1,-1
1,male,16.0,0,1,90.9093,S,0,-1
2,female,43.0,0,0,34.3908,S,0,1
2,female,24.0,0,1,34.8343,C,1,-1
3,female,17.0,1,0,4.204,S,1,-1
3,male,28.0,1,0,19.2614,Q,0,-1
2,male,32.0,0,0,9.7038,S,0,0
1,female,23.0,1,1,89.5482,C,1,-1
2,male,27.0,0,0,23.0353,S,0,0
3,male,3.0,0,1,6.8904,C,0,-1
1,male,36.0,0,0,38.4829,S,0,-1
3,female,31.0,0,2,3.3655,S,1,-1
1,male,20.0,1,0,46.8295,C,1,-1
3,female,20.0,0,0,3.6719,S,0,1
2,female,28.0,2,0,30.7442,C,1,-1
2,female,40.0,0,0,9.5437,S,1,1
2,female,14.0,0,0,9.4932,S,1,1
3,female,32.0,0,0,5.5277,S,0,1
2,male,29.0,0,1,29.958,S,0,-1
2,female,28.0,2,1,27.899,C,1,-1
2,male,29.0,0,0,13.1709,C,0,-1
3,male,5.0,1,2,4.5715,S,0,-1
1,male,32.0,0,2,69.075,C,0,-1
3,male,15.0,0,0,10.0041,C,1,-1
2,female,8.0,1,1,10.2604,C,1,-1
1,female,30.0,0,0,53.0026,S,1,4
2,female,15.0,2,0,23.6462,S,1,-1
3,male,16.0,1,0,7.1995,S,0,2
3,male,10.0,1,0,6.2967,S,0,2
3,female,32.0,0,0,5.6767,S,0,1
2,female,57.0,0,0,12.6854,S,1,-1
2,male,22.0,0,0,29.7892,S,0,0
3,male,1.0,0,0,12.3546,S,1,-1
1,male,24.0,0,0,60.81,S,0,-1
3,male,28.0,1,2,3.0854,S,0,-1
2,female,40.0,0,1,25.4452,S,1,-1
2,female,25.0,0,0,21.6921,S,1,1
2,female,,0,1,9.9815,C,1,-1
2,male,,0,0,16.6845,S,0,0
2,male,,0,1,15.2339,S,0,-1
3,female,37.0,0,0,10.3925,S,0,1
1,male,14.0,1,0,103.071,S,1,-1
2,male,14.0,0,2,16.977,S,0,-1
3,female,35.0,0,0,5.6841,S,1,1
3,male,3.0,0,0,5.769,C,1,-1
1,male,45.0,1,0,38.5331,S,1,-1
3,female,5.0,0,0,18.455,C,1,-1
3,male,40.0,0,0,8.0756,S,0,0
1,female,,0,0,58.4553,S,1,4
1,male,34.0,1,0,58.0299,S,1,-1
2,male,,0,1,21.4726,Q,1,-1
2,male,10.0,0,0,30.7326,S,0,0
2,male,49.0,0,0,23.3876,Q,0,-1
3,male,1.0,0,2,6.0065,S,1,-1
2,male,41.0,0,0,24.2251,S,0,0
1,female,38.0,0,0,76.6531,S,1,4
3,male,33.0,0,0,7.3917,Q,1,-1
1,male,29.0,0,0,24.6354,S,0,-1
3,female,22.0,1,1,9.9556,C,1,-1
3,female,,2,1,3.4673,S,0,-1
3,female,18.0,0,0,11.3018,S,1,1
2,female,31.0,0,0,12.5067,S,1,1
3,male,29.0,1,2,5.2354,S,0,-1
